transition_index,time_s,from_value,to_value,from_state,to_state,transition,valid_state_values,valid_transition,status
1,1783496580.5346394,0,1,no_battery_power,battery_on_engine_off,battery_power_on,True,True,PASS
2,1783496585.8595607,1,128,battery_on_engine_off,engine_on,engine_start,True,True,PASS
3,1783496594.0612628,128,0,engine_on,no_battery_power,engine_stop_and_battery_cut_off,True,True,PASS
4,1783496609.0495036,0,1,no_battery_power,battery_on_engine_off,battery_power_on,True,True,PASS
5,1783496619.8972044,1,0,battery_on_engine_off,no_battery_power,battery_power_cut_off,True,True,PASS
6,1783496631.2998343,0,1,no_battery_power,battery_on_engine_off,battery_power_on,True,True,PASS
7,1783496639.869152,1,128,battery_on_engine_off,engine_on,engine_start,True,True,PASS
8,1783496650.4143791,128,0,engine_on,no_battery_power,engine_stop_and_battery_cut_off,True,True,PASS
9,1783496663.2896814,0,1,no_battery_power,battery_on_engine_off,battery_power_on,True,True,PASS
10,1783496687.0987155,1,128,battery_on_engine_off,engine_on,engine_start,True,True,PASS
11,1783496732.7914312,128,1,engine_on,battery_on_engine_off,engine_stop,True,True,PASS
12,1783496766.0805926,1,128,battery_on_engine_off,engine_on,engine_start,True,True,PASS
13,1783496774.6214669,128,0,engine_on,no_battery_power,engine_stop_and_battery_cut_off,True,True,PASS
14,1783496791.30945,0,1,no_battery_power,battery_on_engine_off,battery_power_on,True,True,PASS
15,1783496817.0782974,1,128,battery_on_engine_off,engine_on,engine_start,True,True,PASS
16,1783496835.1863277,128,0,engine_on,no_battery_power,engine_stop_and_battery_cut_off,True,True,PASS
17,1783496849.9779556,0,1,no_battery_power,battery_on_engine_off,battery_power_on,True,True,PASS
